NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                          
        89    587.5834     23.7972      346.626     69.03163         9  33.47   0    1.292
        90    817.8588     23.5236     300.7494     68.69119         5 -77.88   0    1.159
        91    852.3868     16.6747     747.6467     70.52433        30  85.78   2    1.139
        92    879.5057      7.4729     1347.536      71.8906        61  32.87   2    1.497
        93    771.4055      8.4286     747.6194     70.70856        59 -71.59   2    2.249
        94    782.6611     13.2828     611.0744     69.52341        41  -7.88   2    2.337
        95    997.1942     17.5522     338.0995     69.19193        13  64.99   0    1.629
        96     67.0073     19.3816     781.5001     70.44882        31  -8.67   0    1.146
        97    684.8773     19.3341     830.0651     70.23564        29 -34.78   2    1.093
        98    695.4336     17.3623     787.0294     70.65113        46 -18.34   2    1.881
        99    832.7345     22.8643     423.0116     69.09453        20  62.43   0    1.105
       100    436.5425     20.4480     769.6807      70.5953        31 -24.36   2    1.092
       101    465.7643     24.4153     519.6188     70.15766        16  -9.53   0    1.098
       102    381.7402     24.0845     495.6016      69.1449        13  59.78   0    1.096
       103    811.5941     23.9543     545.0588     69.86842        17  84.84   0    1.027
       104    369.3119     26.3804      454.382     69.00928        19  -1.27   0    1.708
       105    130.0383     29.6882     236.7956     68.28893         2  -5.30   0    1.092
       106      3.3277     22.7151    -1051.809     67.49625         0  86.66   0    3.133
       107    659.3900     22.4517     526.1565      69.8069        39  17.08   0    2.175
       108    687.7690     27.3914     317.8811     69.31353        11  14.47   0    1.310
       109    993.9653     24.9560     429.2796     69.49078        14  64.37   0    1.177
       110    828.0292     29.7204     238.1937     68.67371         0  -4.90   0    1.082
       111    971.3120     24.9622     364.1206     68.71137        10 -85.67   2    1.297
       112    203.8408     27.0987     391.2428      68.4216        11  32.20   2    1.452
       113    405.4174     20.8625     615.0369     69.90974        34  56.15   0    1.481
       114    673.0258     28.4291     488.4899      69.8707        13  -3.87   0    1.128
       115    938.6013     24.4628     1050.901     71.49492        32  62.99   0    1.018
       116    647.0107     27.1621     693.4545     70.71855        20  32.84   2    1.077
       117    640.1569     27.0175     510.8347     69.94335        17 -63.05   2    1.107
       118    296.0253      4.2182     7868.375     90.75466       160  -8.60  10    2.083
       119    449.2156      8.4951      459.273     69.02538        54 -59.92   2    2.873
       120    693.1536     23.3381     728.9246       70.279        30  83.01   2    1.103
       121    129.3044     14.4171     839.3105     70.08006        62  -0.69   0    1.253
       122    385.6867     31.2258     393.0226      68.8069        14  -5.22   0    1.188
       123    869.1375     34.1563     258.7187     68.74161         2 -44.12   0    1.212
       124    430.8893     22.9909     813.1071     70.36597        35 -57.01   2    1.289
       125    443.7272     25.1908     640.9272     69.99385        31 -42.70   0    1.484
       126   1021.3918      8.0523     6074.785     85.99481       134  38.61  10    1.710
       127    359.8786      8.5101     572.6079     69.39754        64  80.38   2    1.841
       128    877.9747     25.9224     999.7082     71.14929        33  25.35   0    1.129
       129     66.0042     29.6701     699.5676       70.184        23  83.19   0    1.026
       130    748.8361     21.4935       976.09     70.33743        45 -59.70   0    1.718
       131    643.6200     21.4951     725.2149     69.70906        39  82.07   2    1.583
       132    529.9954     32.7402     638.8329     70.17279        19  -5.99   0    1.137
       133    208.8849     30.5475     1016.444     70.83617        32  -8.14   2    1.017
       134    285.7635     31.4562     904.8356     70.84559        32  37.06   0    1.074
       135    993.5057     31.5278     378.2263     68.75801        21 -47.89   0    1.733
       136    511.9441     22.2215     929.2391     70.92384        57 -41.71   2    1.318
       137      4.9049     33.9613     171.3317     67.68719        12 -67.46   0    1.014
       138    927.3698     34.0670     722.4553     70.25808        34   0.60   0    1.877
       139    763.0482     24.7975     1802.374     73.66865        72 -12.18   0    1.512
       140    811.4561     32.8798     420.5679     68.89783        17 -77.94   0    1.546
       141    626.5718     21.6748     1361.795     72.29665        50  65.57   0    1.346
       142    759.6503      4.0234     20880.12     118.9573       222  -1.38  10    1.097
       143    903.7712     33.0531     305.9583     69.08628         7 -56.18   0    2.181
       144    488.0702     38.2162     317.1522     69.12309         6  60.67   0    1.273
       145    292.0139     36.0170     404.3419     69.22139        14 -45.52   2    1.190
       146    758.4998     34.1400     648.6547     69.45901        27  49.93   2    1.151
       147    492.5005     41.0084     226.0425     68.63348         0  -1.31   0    1.363
       148   1020.4955     38.5047     465.1285     69.23293        13 -23.31   2    1.035
       149    335.7660     32.1538      609.777     70.07862        28  -4.13   2    1.175
       150    910.5355     39.2209     440.5372     69.52759        13 -11.20   0    1.050
       151    588.5042     36.4912     947.1288     70.79752        29   5.85   2    1.327
       152     95.9732     35.7397     893.3186     70.99222        26 -13.88   0    1.065
       153    545.2716     27.9753     2757.605      76.5589        71 -16.83   0    1.374
       154    443.5740     32.9495     907.0761     71.21925        32  54.10   0    1.256
       155    433.7812     42.9965     352.9375     69.05241         8  -2.04   0    1.187
       156    811.5722     43.0100     237.0607     68.85925         1  27.45   0    1.619
       157    976.4790     29.6936      949.614      70.8055        49  54.21   2    1.508
       158    653.8884     34.7662     612.8304     69.52915        20 -81.88   0    1.356
       159    665.9346     39.4583     612.2344     69.90062        18 -32.38   0    1.093
       160    354.5042     38.4816     760.1189     70.00893        18 -59.97   2    1.479
       161    307.3910     44.0983     346.4335       69.031         7  15.56   0    1.355
       162    393.4803     33.6358      869.056     70.73071        41 -27.99   2    1.126
       163    422.6107     43.7952     257.3871      68.7372         3  71.73   0    1.670
       164    504.7301     29.4681     808.2961     70.35043        45   6.79   0    1.433
       165    266.1856     35.1751     474.1914     69.63751        27  28.21   2    1.174
       166    587.4581     31.5090     1232.403      71.5257        46  39.82   2    1.460
       167    612.5890     42.7292     375.2886     69.12593        12   8.18   0    1.218
       168    889.3993     42.2469     467.7199     69.42916        14  10.30   0    1.041
       169    569.8943     34.1741     394.7888     68.62332        24  80.83   2    1.607
       170    894.1263     30.8916      2165.35     74.43113        58 -56.43   0    1.105
       171    953.5896     32.2256     804.7836     70.70822        19 -89.04   2    1.148
       172    714.8906     33.2945     1542.706     72.68429        43 -78.04   2    1.038
       173   1023.5316     35.8885     1048.829     66.97607        18 -88.47  26    1.893
       174    521.2161     11.6743     14894.64     106.7901       194 -86.38   2    1.096
       175    577.8977      9.6903     20581.08     117.8336       279 -78.17  10    1.093
       176    303.4756     33.1165      460.881     68.84186        18  72.21   2    1.561
       177    327.2068     40.8019     739.2067     70.31225        25 -85.62   0    1.125
       178    483.2420     42.8641     547.4575     69.68969        17  44.23   0    1.118
       179   1017.3518     45.0634     315.1236     68.92783         8 -36.40   0    1.200
       180    543.3309     39.4064     424.6878     69.28815        22 -60.53   0    1.834
       181    796.5352     39.0817     948.6691     70.80247        35  65.92   0    1.121
       182    598.0687     34.6374     583.4987     69.80713        43 -38.18   2    2.928
       183    216.5052     44.1767     604.2706     69.31363        17  89.70   0    1.159
       184     68.9562     48.9901     323.2282     69.33106         8  54.92   0    1.004
       185    679.0302     43.7039     689.5432     69.40537        19  86.30   2    1.104
       186    764.3624     37.4488     1039.706     71.09409        40  47.07   2    1.167
       187    385.5360     39.9755     1528.697     72.99797        54 -10.71   0    1.268
       188    713.1802     39.8879     1338.268     71.86131        51 -23.48   2    1.457
       189    616.9628     47.5238     306.3701     68.89897         6 -38.13   0    2.001
       190    577.3956     44.8123     889.9805     70.79792        15 -63.08   2    1.388
       191    538.0649     46.1269     659.9208     69.86945        23 -50.08   0    1.081
       192    235.9363     46.4969     584.8292     69.43756        20 -26.46   2    1.084
       193    926.9081     46.2068     660.0966     70.05607        26 -22.93   2    1.390
       194    916.1467     26.6906      10258.9     96.01501       129 -51.15   0    1.144
       195    974.9822     39.0036     526.4327     69.62109        32 -77.14   0    1.745
       196   1023.4550     41.7439     717.8218     67.40623        16  88.11  26    1.649
       197    101.3760     46.8875     443.2098     68.97247        13  75.34   0    1.202
       198    554.1583     46.7336     440.5915      69.3403        14 -72.10   0    1.374
       199    952.8731     36.6307     1222.788     71.85835        42 -88.09   2    1.114
       200    601.0980     40.6825     403.4246     68.65191        21  69.66   2    1.791
       201    883.3520     47.6045     450.7654     69.37364        15 -30.07   2    1.178
       202    684.1987     42.9092     1043.578     71.28928        38 -27.19   2    1.121
       203    408.7966     48.9467     460.9138     69.59417        18 -88.40   0    1.109
       204    987.2404     51.4235     306.6396     69.27666         7  57.50   0    1.313
       205    206.9815     37.5559         2642     76.55576        83  18.25   2    1.044
       206    790.9559     45.3922     545.1996     70.05492        27  -9.56   0    1.453
       207     55.2586     47.2886     432.7772     68.93809        17  44.74   0    1.590
       208    962.0358     50.2315     656.1302     70.41389        23   7.39   0    1.031
       209    349.0057     16.8490     2274.244     75.28339        96 -55.10   2    1.599
       210    456.1821     50.9845     514.2325     69.58125        22  25.90   2    1.162
       211   1017.5651     51.0122     407.7887     69.79446        16  65.05   0    1.350
       212    262.0625     45.1210     608.4794     69.51492        35  89.46   2    1.244
       213    650.8287     49.9393     900.3964     70.64735        31   0.59   2    1.416
       214    289.4777     48.1419     1188.791     71.38699        36  71.79   0    1.217
       215    353.1935     50.6411     951.4637     71.36076        35 -34.33   0    1.184
       216    813.4508     53.0140     484.3075     69.67052        14  88.25   0    1.129
       217    512.4442     58.1492     252.2566     68.90939         3 -18.29   0    1.723
       218    643.3086     52.5182     653.1641     69.84747        31  -1.16   2    1.663
       219     12.3160     49.1080     380.7743     68.95546        16  73.45   0    2.022
       220    803.4868     53.5821     336.1666     68.80827        10  59.38   0    1.388
       221    290.6606     56.4299     331.8644     68.79407         7  71.17   0    1.146
       222    899.9069     56.4605     452.0339     69.00154        14 -24.01   0    1.061
       223     10.4531     55.4898     290.5873     68.46771         8  28.37   0    2.518
       224    658.8505     57.2968     210.1284       68.009         0  68.17   0    1.377
       225    612.5031     57.1843     342.7907     68.64079         9  -3.42   2    1.317
       226    707.5220     60.0410     282.1695     68.81909         4  -0.30   0    1.173
       227    559.7885     57.4055     564.8845      69.7465        17 -17.12   2    1.347
       228    695.9962     50.5154      802.702     70.70153        38 -43.29   2    1.229
       229    605.0182     58.4832     398.9817     69.20379        12 -88.94   0    1.291
       230     90.3949     61.1874     249.5341     68.71123         3  71.43   0    1.654
       231    198.1282     61.1348      294.289     68.66982         6 -43.57   0    1.246
       232    730.6902     28.3417      679.029     69.74519        33  14.88   0    1.197
       233    853.1528     57.0936     648.2349     69.45763        22  50.52   0    1.099
       234    679.6870     49.5529     388.9863     68.79356        25 -56.28   2    2.069
       235     63.6949     59.4586     389.8462     68.60695        12  56.19   0    1.029
       236    618.5109     59.4299      412.574     68.87145        16   9.92   2    1.731
