NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
        89    587.5834     23.7972      823.049     214.5329         7  33.47   0    1.292
        90    817.8588     23.5236     750.9404     213.8286         2 -77.88   0    1.159
        91    852.3868     16.6747     1998.315     216.8109        29  85.78   2    1.139
        92    879.5057      7.4729     3663.331     217.4012        49  32.87   2    1.497
        93    771.4055      8.4286     2004.537      217.412        36 -71.59   2    2.249
        94    782.6611     13.2828     1553.182     214.3846        40  -7.88   2    2.337
        95    997.1942     17.5522     948.9866      215.312        11  64.99   0    1.629
        96     67.0073     19.3816     2115.653     216.3845        28  -8.67   0    1.146
        97    684.8773     19.3341     2253.714     215.3907        27 -34.78   2    1.093
        98    695.4336     17.3623     2062.222     216.9019        47 -18.34   2    1.881
        99    832.7345     22.8643     1195.721     214.4697        16  62.43   0    1.105
       100    436.5425     20.4480     2134.523     217.0047        30 -24.36   2    1.092
       101    465.7643     24.4153     1365.881     217.0965        17  -9.53   0    1.098
       102    381.7402     24.0845     1350.558     214.0927        13  59.78   0    1.096
       103    811.5941     23.9543     1523.234     216.1336        14  84.84   0    1.027
       104    369.3119     26.3804     1205.906      213.884        16  -1.27   0    1.708
       105    130.0383     29.6882      694.756     213.1452         1  -5.30   0    1.092
       106      3.3277     22.7151     1449.441     214.2352         9  86.66   0    3.133
       107    659.3900     22.4517     1525.093     216.1362        36  17.08   0    2.175
       108    687.7690     27.3914     825.6525     215.7319         5  14.47   0    1.310
       109    993.9653     24.9560     1091.356      215.516        12  64.37   0    1.177
       110    828.0292     29.7204     589.2231     214.1962         0  -4.90   0    1.082
       111    971.3120     24.9622     864.3221     213.3905         5 -85.67   2    1.297
       112    203.8408     27.0987     1072.175     212.4842        11  32.20   2    1.452
       113    405.4174     20.8625     1808.414     215.9458        34  56.15   0    1.481
       114    673.0258     28.4291     1226.632     216.3049        10  -3.87   0    1.128
       115    938.6013     24.4628      2823.09     217.9819        32  62.99   0    1.018
       116    647.0107     27.1621      1774.58     217.6768        21  32.84   2    1.077
       117    640.1569     27.0175     1251.396     216.3402        14 -63.05   2    1.107
       118    296.0253      4.2182     22248.64     244.4675       119  -8.60  10    2.083
       119    449.2156      8.4951     1287.123     214.0012        33 -59.92   2    2.873
       120    693.1536     23.3381     1787.848     215.9164        28  83.01   2    1.103
       121    129.3044     14.4171     2174.034     214.6784        63  -0.69   0    1.253
       122    385.6867     31.2258     1182.045     213.8496        13  -5.22   0    1.188
       123    869.1375     34.1563     639.9675     214.2693         1 -44.12   0    1.212
       124    430.8893     22.9909     2126.017     215.8043        34 -57.01   2    1.289
       125    443.7272     25.1908     1773.746     215.8963        30 -42.70   0    1.484
       126   1021.3918      8.0523      17841.7     238.2999        89  38.61  10    1.710
       127    359.8786      8.5101     1507.695     214.3191        38  80.38   2    1.841
       128    877.9747     25.9224     2621.526     217.1049        33  25.35   0    1.129
       129     66.0042     29.6701     1727.474     215.8301        22  83.19   0    1.026
       130    748.8361     21.4935     2718.566     214.8623        44 -59.70   0    1.718
       131    643.6200     21.4951     2041.737     214.4882        37  82.07   2    1.583
       132    529.9954     32.7402     1616.286     216.2664        19  -5.99   0    1.137
       133    208.8849     30.5475     2796.611     216.1673        32  -8.14   2    1.017
       134    285.7635     31.4562     2586.566     217.0552        32  37.06   0    1.074
       135    993.5057     31.5278     1079.425     213.7014        10 -47.89   0    1.733
       136    511.9441     22.2215     2556.035     217.0118        58 -41.71   2    1.318
       137      4.9049     33.9613     1539.755     213.1623        19 -67.46   0    1.014
       138    927.3698     34.0670     1852.664     216.0091        33   0.60   0    1.877
       139    763.0482     24.7975     5042.486     220.5197        71 -12.18   0    1.512
       140    811.4561     32.8798     1109.194     213.7444        13 -77.94   0    1.546
       141    626.5718     21.6748      3813.97     218.7935        51  65.57   0    1.346
       142    759.6503      4.0234     63600.73     292.0451       206  -1.38  10    1.097
       143    903.7712     33.0531     955.2062     215.3209         7 -56.18   0    2.181
       144    488.0702     38.2162     747.7383     215.0233         3  60.67   0    1.273
       145    292.0139     36.0170     1055.089     214.8665        15 -45.52   2    1.190
       146    758.4998     34.1400     1714.102     214.0162        27  49.93   2    1.151
       147    492.5005     41.0084     613.2467     214.2308         2  -1.31   0    1.363
       148   1020.4955     38.5047     1415.022      214.785        13 -23.31   2    1.035
       149    335.7660     32.1538     1494.631     216.0927        24  -4.13   2    1.175
       150    910.5355     39.2209     1081.129     215.5013        13 -11.20   0    1.050
       151    588.5042     36.4912     2589.855     216.4667        29   5.85   2    1.327
       152     95.9732     35.7397     2302.503     217.2435        26 -13.88   0    1.065
       153    545.2716     27.9753     8095.906     224.7527        72 -16.83   0    1.374
       154    443.5740     32.9495      2496.96     218.1099        32  54.10   0    1.256
       155    433.7812     42.9965     776.9394     214.4665         2  -2.04   0    1.187
       156    811.5722     43.0100     589.7256     214.7964         0  27.45   0    1.619
       157    976.4790     29.6936     2760.339     216.7096        47  54.21   2    1.508
       158    653.8884     34.7662     1459.073     214.2491        19 -81.88   0    1.356
       159    665.9346     39.4583     1480.764      215.477        15 -32.38   0    1.093
       160    354.5042     38.4816       2238.1     215.3684        18 -59.97   2    1.479
       161    307.3910     44.0983     815.7957     214.5224         3  15.56   0    1.355
       162    393.4803     33.6358       2397.5     216.7862        41 -27.99   2    1.126
       163    422.6107     43.7952     653.9907     214.2895         0  71.73   0    1.670
       164    504.7301     29.4681     2245.261     215.9748        43   6.79   0    1.433
       165    266.1856     35.1751     1329.737     215.8571        29  28.21   2    1.174
       166    587.4581     31.5090     3335.036     216.9347        46  39.82   2    1.460
       167    612.5890     42.7292     969.8299     214.7439         7   8.18   0    1.218
       168    889.3993     42.2469     1027.892     214.8274         8  10.30   0    1.041
       169    569.8943     34.1741     1073.402     213.0902        16  80.83   2    1.607
       170    894.1263     30.8916     5986.416     220.6747        58 -56.43   0    1.105
       171    953.5896     32.2256     2139.048     217.0112        18 -89.04   2    1.148
       172    714.8906     33.2945     4277.638     218.8599        44 -78.04   2    1.038
       173   1023.5316     35.8885     3959.748     205.0513        18 -88.47  26    1.893
       174    521.2161     11.6743     43829.68     269.8681       196 -86.38   2    1.096
       175    577.8977      9.6903     61667.34     287.7692       232 -78.17  10    1.093
       176    303.4756     33.1165     1159.246     213.2145        17  72.21   2    1.561
       177    327.2068     40.8019     2075.291      216.327        22 -85.62   0    1.125
       178    483.2420     42.8641     1283.258      215.194        11  44.23   0    1.118
       179   1017.3518     45.0634     832.3074     214.5462         4 -36.40   0    1.200
       180    543.3309     39.4064     1078.098     214.8995        17 -60.53   0    1.834
       181    796.5352     39.0817     2524.276     216.3732        34  65.92   0    1.121
       182    598.0687     34.6374     1543.263     215.5665        42 -38.18   2    2.928
       183    216.5052     44.1767     1451.938     213.6378        18  89.70   0    1.159
       184     68.9562     48.9901     712.4069     215.5699         2  54.92   0    1.004
       185    679.0302     43.7039     1858.912     213.6239        19  86.30   2    1.104
       186    764.3624     37.4488     2731.538     216.6686        42  47.07   2    1.167
       187    385.5360     39.9755      4244.04     219.9846        55 -10.71   0    1.268
       188    713.1802     39.8879     3866.016     217.6888        51 -23.48   2    1.457
       189    616.9628     47.5238     796.5372     214.4947         4 -38.13   0    2.001
       190    577.3956     44.8123     2388.912     216.7739        15 -63.08   2    1.388
       191    538.0649     46.1269     1779.794     215.3086        23 -50.08   0    1.081
       192    235.9363     46.4969     1372.405     214.1242        17 -26.46   2    1.084
       193    926.9081     46.2068     1735.323     215.8414        25 -22.93   2    1.390
       194    916.1467     26.6906      32259.6     254.7849       129 -51.15   0    1.144
       195    974.9822     39.0036     1516.594     215.5284        28 -77.14   0    1.745
       196   1023.4550     41.7439     2052.182     207.1853        17  88.11  26    1.649
       197    101.3760     46.8875     1027.508     213.6264         9  75.34   0    1.202
       198    554.1583     46.7336     1130.959     214.9754        12 -72.10   0    1.374
       199    952.8731     36.6307     3147.141     217.8508        42 -88.09   2    1.114
       200    601.0980     40.6825     1218.576     213.3004        19  69.66   2    1.791
       201    883.3520     47.6045     1075.199     214.8953        10 -30.07   2    1.178
       202    684.1987     42.9092     2935.698     217.5511        38 -27.19   2    1.121
       203    408.7966     48.9467      1261.05     215.7589        18 -88.40   0    1.109
       204    987.2404     51.4235     796.0408     215.6896         3  57.50   0    1.313
       205    206.9815     37.5559     7628.841     225.2549        83  18.25   2    1.044
       206    790.9559     45.3922     1462.678     216.6414        24  -9.56   0    1.453
       207     55.2586     47.2886     1066.746     213.6831        14  44.74   0    1.590
       208    962.0358     50.2315     1871.869     217.2236        21   7.39   0    1.031
       209    349.0057     16.8490      6382.43     222.9646        99 -55.10   2    1.599
       210    456.1821     50.9845     1384.913     215.3397        21  25.90   2    1.162
       211   1017.5651     51.0122     1104.542     216.7247        12  65.05   0    1.350
       212    262.0625     45.1210     1602.751     214.4559        31  89.46   2    1.244
       213    650.8287     49.9393     2376.022     216.1616        32   0.59   2    1.416
       214    289.4777     48.1419     3131.954     216.6456        36  71.79   0    1.217
       215    353.1935     50.6411     2480.566     218.0867        33 -34.33   0    1.184
       216    813.4508     53.0140     1166.051     215.6229        11  88.25   0    1.129
       217    512.4442     58.1492     710.4559     214.9698         0 -18.29   0    1.723
       218    643.3086     52.5182     1735.573     215.2452        31  -1.16   2    1.663
       219     12.3160     49.1080     1059.968     214.2742        12  73.45   0    2.022
       220    803.4868     53.5821     903.4077     214.0486         7  59.38   0    1.388
       221    290.6606     56.4299     814.7137     213.9207         3  71.17   0    1.146
       222    899.9069     56.4605      1110.71     213.7466        12 -24.01   0    1.061
       223     10.4531     55.4898      909.199     213.4554        10  28.37   0    2.518
       224    658.8505     57.2968     638.4277     212.4592         1  68.17   0    1.377
       225    612.5031     57.1843     810.6935      213.313         5  -3.42   2    1.317
       226    707.5220     60.0410      792.188     214.4885         4  -0.30   0    1.173
       227    559.7885     57.4055     1232.245     215.1208        16 -17.12   2    1.347
       228    695.9962     50.5154     2322.004     217.2712        37 -43.29   2    1.229
       229    605.0182     58.4832     908.6057     214.6559         6 -88.94   0    1.291
       230     90.3949     61.1874     522.5908     214.1002         0  71.43   0    1.654
       231    198.1282     61.1348     758.4327     213.8395         1 -43.57   0    1.246
       232    730.6902     28.3417     1696.323     214.5905        29  14.88   0    1.197
       233    853.1528     57.0936     1680.611     213.9679        21  50.52   0    1.099
       234    679.6870     49.5529     1087.401      213.713        21 -56.28   2    2.069
       235     63.6949     59.4586     998.3271     212.9814         8  56.19   0    1.029
       236    618.5109     59.4299     1043.297     213.6492        16   9.92   2    1.731
       237    438.0521     59.9577     1187.912     215.6542        12   2.53   2    1.097
       238    512.6467     45.5230     2381.454     216.1693        54 -87.30   0    1.552
       239    341.8001     55.7007     1897.515     216.0732        21  73.04   0    1.090
       240    220.0096     62.9309      843.796     214.5627         4 -28.39   0    1.014
       241    596.4407     49.2967     2087.964     213.9545        44 -20.55   2    1.353
       242    922.2898     50.0894      2494.78     216.3311        38 -51.25   2    1.129
       243    983.3911     56.1917     1047.354     214.8553        11 -83.32   2    1.404
       244    271.7800     25.4069     27190.25     249.6005       190 -86.23   2    1.320
       245    207.4545     54.7323     2901.703     216.9109        34 -88.34   0    1.068
       246    728.3731     57.8556     1534.067     215.5534        21 -20.38   2    1.289
       247    520.0814     59.5649     1395.891     215.3554        13 -32.54   0    1.109
       248    827.8358     62.3443     936.1253     214.6955         6  37.55   0    1.781
       249    732.8352     64.8468     789.9148     214.4852         3 -46.42   0    1.178
